n_hyperlinks,nullpointers_ratio,external_ratio,form_input_b,int_form_act_ratio,abn_form_act_ratio,ext_form_act_ratio,html_length,n_script_tag,n_style_tag,n_link_tag,n_comment_tag,diff_body_children,n_body_tag,n_head_tag,title_tag,title_url_brand,ext_res_ratio,favicon_used,n_hidden_disabled_tags,n_img_tag,n_meta_refresh,url,label
5,0.8,0.0,0,0,0,0,8863,1,1,0,0,11,1,1,1,0,0,0,0,0,0,https://portal-en-suite-a.github.io/us/,1
0,0,0,0,0.0,1.0,0.0,42255,11,0,80,0,10,1,1,1,0,0.0,0,0,77,0,https://xynoverse.vercel.app/syncwallets,1
221,1.0,0.0,0,0.0,1.0,0.0,124521,8,2,5,1,19,1,1,1,0,0.04,1,6,220,0,https://daosflarelines.xyz/connect/index.html,1
0,0,0,0,0,0,0,138443,20,4,7,0,5,1,1,1,0,0.44,1,0,0,0,https://docs.google.com/presentation/d/e/2PACX-1vRxLBwvpPulrVlJI4amL9hleiVtYJs-84Y6_QuTOMUHEj1QwXW6Zqes7iJQUXqqxYOKIPkGF7XK-W-E/pub?start=false&amp;loop=false&amp;delayms=3000,1
279,0.12,0.88,1,1.0,0.0,0.0,1731049,5,6,3,4,28,1,1,1,0,0.23,1,1,20,0,https://pushtan-erneuerung.com/kdz84924pdkoz3?sp4k25=8329dnzk4Z2,1
279,0.12,0.88,1,1.0,0.0,0.0,1731049,5,6,3,4,28,1,1,1,0,0.23,1,1,20,0,https://pushtan-erneuerung.com,1
0,0,0,0,0,0,0,125,0,0,0,0,0,1,1,0,0,0,0,0,0,1,http://newspapernetzdoe.does-it.net/.kormos,1
0,0,0,0,0,0,0,125,0,0,0,0,0,1,1,0,0,0,0,0,0,1,http://newspapernetzdoe.does-it.net/.kormos/,1
0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://mondiai-choisir.com/pac/calcul.php,1
0,0,0,0,0,0,0,2430,1,1,0,0,0,0,0,0,0,0,0,0,0,0,https://suiviscoiistracks.com/,1
0,0,0,0,0,0,0,2430,1,1,0,0,0,0,0,0,0,0,1,0,0,0,https://livraison-planification.com/,1
0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,1,0,0,0,https://livraison-planification.com/pac/calcul.php,1
1,0.0,0.0,0,0,0,0,9624,13,1,9,1,9,1,1,1,0,1.0,0,0,7,0,https://sobat-berlimpah.vercel.app/,1
0,0,0,0,0,0,0,94282,20,4,7,0,5,1,1,1,0,0.44,1,0,0,0,https://docs.google.com/presentation/d/e/2PACX-1vQ1WIHh7RPdnntRNjqUPorzQyke704Gf9Gw34geWfIhbFmEuGQRts_QaYDag7jgtyNdEeO-ODKm5TX6/pub?start=false&amp;loop=false&amp;delayms=3000&amp;slide=id.p,1
1,0.0,0.0,0,0,0,0,1852,1,0,0,0,2,1,1,0,0,0,1,1,0,0,https://www.bing.com/ck/a?!&&p=92196d458595421867c91f2a69afeeac9618b4916a1f2854f76c057bcf260dc6JmltdHM9MTc0NzA5NDQwMA&ptn=3&ver=2&hsh=4&fclid=1c55f1f2-8175-6199-294d-e59f80b5604d&u=a1aHR0cHM6Ly9jb2Rlc2VyLm9yZy9teS1jYWxlbmRhci8&ntb=1,1
0,0,0,0,0,0,0,139,0,0,0,0,3,1,1,1,0,0,0,0,0,0,https://www.vzqocx.com,1
0,0,0,0,0,0,0,203,3,0,0,0,0,0,0,0,0,0,0,0,0,0,https://choisirunrelay.com/,1
